"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.049370700E-2,-7.283531129E-2,5.712312087E-2,5.725627299E-3,9.274058614E-2
5.311542500E-2,-7.816147059E-2,4.966649041E-2,4.660394508E-3,9.272375656E-2
5.564188400E-2,-8.135717362E-2,3.368799388E-2,3.994623839E-4,8.805697134E-2
5.816834200E-2,-8.348763734E-2,2.197043039E-2,-3.861469682E-3,8.641641249E-2
6.069480000E-2,-8.881380409E-2,1.344856713E-2,-8.122402243E-3,9.019273348E-2
6.322131100E-2,-9.627043456E-2,-3.994623839E-4,-1.238333434E-2,9.706442762E-2
6.574776900E-2,-9.946613014E-2,-1.105179265E-2,-1.877473295E-2,1.018240824E-1
6.827422800E-2,-1.079879999E-1,-1.744319126E-2,-2.197043039E-2,1.115722764E-1
7.080068600E-2,-1.133141592E-1,-1.957365684E-2,-2.516612969E-2,1.177138938E-1
7.332714400E-2,-1.250317246E-1,-2.596505545E-2,-2.623136342E-2,1.303656423E-1
7.585365500E-2,-1.367492825E-1,-2.383458801E-2,-2.836182900E-2,1.416786758E-1
7.838011300E-2,-1.442059278E-1,-2.063889056E-2,-3.049229458E-2,1.488324342E-1
8.090657100E-2,-1.516625583E-1,-1.637795754E-2,-2.942706272E-2,1.553567543E-1
8.351620700E-2,-1.601844132E-1,-1.211702544E-2,-2.836182900E-2,1.631265211E-1
8.604266500E-2,-1.676410437E-1,-2.529928461E-3,-2.623136342E-2,1.696997480E-1
8.856912300E-2,-1.708367467E-1,1.131810062E-2,-2.623136342E-2,1.732090582E-1
9.109558200E-2,-1.697715074E-1,2.197043039E-2,-2.197043039E-2,1.725913217E-1
9.362204000E-2,-1.772281379E-1,3.262276202E-2,-1.877473295E-2,1.811809815E-1
9.614849800E-2,-1.750976741E-1,4.860125855E-2,-1.025286783E-2,1.820065909E-1
9.867500900E-2,-1.782933772E-1,6.564498693E-2,-5.991935730E-3,1.900886528E-1
1.012014670E-1,-1.761629134E-1,8.055824786E-2,-1.731003635E-3,1.937162867E-1
1.037279250E-1,-1.804238409E-1,9.866721183E-2,4.660394508E-3,2.056932190E-1
1.062544360E-1,-1.761629134E-1,1.103847697E-1,1.105179265E-2,2.081833605E-1
1.087808940E-1,-1.665758193E-1,1.295589656E-1,1.531272475E-2,2.115833374E-1
1.113073530E-1,-1.580539495E-1,1.391460598E-1,2.596505545E-2,2.121717724E-1
1.139217280E-1,-1.527277827E-1,1.455374658E-1,3.768261895E-2,2.143056447E-1
1.164481860E-1,-1.452711523E-1,1.540593207E-1,4.726971686E-2,2.169617665E-1
1.189746440E-1,-1.378145218E-1,1.593854874E-1,5.153064802E-2,2.169146922E-1
1.215011030E-1,-1.303578913E-1,1.604507267E-1,5.685681105E-2,2.144068854E-1
1.240276130E-1,-1.186403260E-1,1.572550237E-1,6.218297780E-2,2.065705501E-1
1.265540710E-1,-1.037270650E-1,1.529940963E-1,6.857437640E-2,1.971520799E-1
1.290805300E-1,-9.413997084E-2,1.519288570E-1,7.283531129E-2,1.930017986E-1
1.316069880E-1,-8.348763734E-2,1.476679295E-1,7.390054315E-2,1.850332221E-1
1.341334460E-1,-7.283531129E-2,1.402112991E-1,8.029194176E-2,1.772314500E-1
1.366599570E-1,-6.111774594E-2,1.327546686E-1,8.455286920E-2,1.688442140E-1
1.391864150E-1,-5.046541616E-2,1.199718714E-1,8.668334037E-2,1.563777786E-1
1.417128730E-1,-4.513924941E-2,1.103847697E-1,9.094426781E-2,1.499773619E-1
1.443221960E-1,-3.235645220E-2,9.973244369E-2,9.520520270E-2,1.416246128E-1
1.468486550E-1,-2.703028731E-2,8.694964647E-2,9.627043456E-2,1.325099016E-1
1.493751130E-1,-2.383458801E-2,7.416684926E-2,9.413997084E-2,1.221930572E-1
1.519015710E-1,-1.957365684E-2,6.138405204E-2,9.733566642E-2,1.167277253E-1
1.544280820E-1,-1.850842312E-2,4.966649041E-2,9.733566642E-2,1.108311958E-1
1.569545400E-1,-2.276935615E-2,4.114462435E-2,8.987903595E-2,1.014374921E-1
1.594809980E-1,-2.170412242E-2,3.049229458E-2,8.561810106E-2,9.344146932E-2
1.620074570E-1,-2.809552103E-2,2.729659714E-2,8.135717362E-2,9.029646846E-2
1.645339150E-1,-3.342168778E-2,2.942706272E-2,7.070484012E-2,8.355917455E-2
1.670604250E-1,-3.874785081E-2,2.942706272E-2,6.218297780E-2,7.895613143E-2
1.695868840E-1,-4.513924941E-2,3.581846133E-2,5.046541616E-2,7.659812164E-2
1.721133420E-1,-5.259587988E-2,4.327509180E-2,4.620448127E-2,8.230379238E-2
1.747234460E-1,-6.111774594E-2,5.712312087E-2,3.981308267E-2,9.264724150E-2
1.772499050E-1,-6.644391268E-2,6.564498693E-2,2.916075476E-2,9.784890117E-2
1.797763630E-1,-8.455286920E-2,7.416684926E-2,2.489982173E-2,1.151950969E-1
1.823028210E-1,-1.005313694E-1,8.694964647E-2,2.383458801E-2,1.350366056E-1
1.848293320E-1,-1.111836955E-1,1.007976755E-1,2.489982173E-2,1.521249048E-1
1.873557900E-1,-1.271621883E-1,1.157109365E-1,2.063889056E-2,1.731623711E-1
1.898822480E-1,-1.452711523E-1,1.231675670E-1,1.850842312E-2,1.913544328E-1
1.924087070E-1,-1.601844132E-1,1.338198930E-1,2.170412242E-2,2.098520406E-1
1.949351650E-1,-1.793586165E-1,1.412765235E-1,2.383458801E-2,2.295575243E-1
1.974616750E-1,-1.964023411E-1,1.529940963E-1,2.596505545E-2,2.503103218E-1
1.999881340E-1,-2.113156021E-1,1.625811905E-1,2.916075476E-2,2.682112540E-1
2.025145920E-1,-2.326202542E-1,1.689725816E-1,3.448691964E-2,2.895742800E-1
2.051205820E-1,-2.496639937E-1,1.711030602E-1,4.300878197E-2,3.057092120E-1
2.076470400E-1,-2.656424940E-1,1.732335240E-1,4.620448127E-2,3.204850114E-1
2.101734980E-1,-2.730991244E-1,1.711030602E-1,5.046541616E-2,3.261995512E-1
2.126999570E-1,-2.858819067E-1,1.689725816E-1,5.685681105E-2,3.369167477E-1
2.152264670E-1,-2.933385372E-1,1.593854874E-1,6.324820966E-2,3.397816461E-1
2.177529250E-1,-2.965342402E-1,1.519288570E-1,7.496577501E-2,3.415183753E-1
2.202793840E-1,-2.954690158E-1,1.423417628E-1,8.348763734E-2,3.384276914E-1
2.228058420E-1,-2.922733128E-1,1.316894293E-1,9.413997084E-2,3.341079605E-1
2.253323000E-1,-2.858819067E-1,1.178414002E-1,1.026618332E-1,3.258136157E-1
2.278588110E-1,-2.837514579E-1,1.039933711E-1,1.133141592E-1,3.227531716E-1
2.303852690E-1,-2.752295732E-1,9.227581322E-2,1.239664927E-1,3.156482774E-1
2.329117280E-1,-2.677729428E-1,8.055824786E-2,1.303578913E-1,3.085209231E-1
2.355245400E-1,-2.581858635E-1,6.457975507E-2,1.367492825E-1,2.992170636E-1
2.380509980E-1,-2.464682907E-1,5.179695413E-2,1.442059278E-1,2.902152518E-1
2.405774570E-1,-2.411421239E-1,4.753602296E-2,1.527277827E-1,2.893699588E-1
2.431039150E-1,-2.315550297E-1,3.794892505E-2,1.580539495E-1,2.829114767E-1
