"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.083694000E-2,-4.527240526E-3,2.130466048E-3,1.331541280E-4,5.005249482E-3
5.337074200E-2,7.989247679E-4,4.260932095E-3,1.198387123E-3,4.497772204E-3
5.590292900E-2,2.929390874E-3,-2.130466048E-3,-9.320789250E-4,3.740185503E-3
5.843657500E-2,-2.396774245E-3,-4.260932095E-3,1.331541280E-4,4.890582698E-3
6.097417900E-2,2.929390874E-3,1.065233024E-3,1.331541280E-4,3.119901009E-3
6.350178300E-2,1.864157850E-3,-1.065233024E-3,3.328853287E-3,3.961195538E-3
6.603621100E-2,-3.462007269E-3,-2.130466048E-3,4.394086078E-3,5.986014732E-3
6.857027300E-2,-2.663082560E-4,1.065233024E-3,3.328853287E-3,3.505268276E-3
7.110220000E-2,7.989247679E-4,4.260932095E-3,1.331541280E-4,4.337228738E-3
7.363761700E-2,-2.663082560E-4,5.326164886E-3,1.198387123E-3,5.465810478E-3
7.617048100E-2,-2.396774245E-3,1.065233024E-3,1.198387123E-3,2.883640039E-3
7.870537700E-2,-2.396774245E-3,2.130466048E-3,2.263620263E-3,3.925224714E-3
8.123720000E-2,1.864157850E-3,-1.065233024E-3,1.198387123E-3,2.458848832E-3
8.377079400E-2,6.125089712E-3,-1.065233024E-3,-9.320789250E-4,6.286510678E-3
8.630428300E-2,5.059856921E-3,2.130466048E-3,2.263620263E-3,5.938435344E-3
8.884032500E-2,7.989247679E-4,3.195699072E-3,1.198387123E-3,3.505268183E-3
9.137329400E-2,7.989247679E-4,1.065233024E-3,-9.320789250E-4,1.625353285E-3
9.389970000E-2,2.929390874E-3,2.130466048E-3,2.263620263E-3,4.271322180E-3
9.643683600E-2,7.989247679E-4,1.065233024E-3,4.394086078E-3,4.591404430E-3
9.897157500E-2,-2.663082560E-4,-1.065233024E-3,1.198387123E-3,1.625353247E-3
1.015062630E-1,7.989247679E-4,-2.130466048E-3,1.331541280E-4,2.279231534E-3
1.040391270E-1,-2.663082560E-4,-1.065233024E-3,2.263620263E-3,2.515873243E-3
1.065717310E-1,2.929390874E-3,1.065233024E-3,-1.997311832E-3,3.702067914E-3
1.090994920E-1,-4.527240526E-3,2.130466048E-3,-3.062544856E-3,5.866342417E-3
1.116421480E-1,7.989247679E-4,2.130466048E-3,3.328853287E-3,4.032174422E-3
