Time (s),x,y,z
1.6546946237559552e+18,5.775000095,-27.00000191,-213.6750031
1.6546946237659553e+18,6.075000286,-27.30000114,-213.9750061
1.654694623775955e+18,6.225000381,-27.15000153,-213.6750031
1.654694623785955e+18,6.075000286,-26.85000038,-213.6750031
1.654694623795955e+18,6.150000095,-26.62500191,-213.6750031
1.6546946238059553e+18,6.600000381,-26.62500191,-213.6750031
1.6546946238159552e+18,6.675000191,-26.70000076,-213.6000061
1.6546946238259553e+18,6.600000381,-26.62500191,-213.5250092
1.6546946238359552e+18,7.050000191,-26.62500191,-213.5250092
1.6546946238459553e+18,7.200000286,-26.47500038,-213.3000031
1.6546946238559552e+18,7.125000477,-26.47500038,-213.3000031
1.6546946238659553e+18,7.200000286,-26.62500191,-213.3000031
1.6546946238759552e+18,7.275000095,-26.62500191,-213.0750122
1.6546946238859553e+18,6.900000095,-26.77500153,-213.0000153
1.6546946238959552e+18,6.750000477,-26.85000038,-213.1500092
1.6546946239059553e+18,6.675000191,-26.70000076,-213.2250061
1.6546946239159552e+18,6.375000477,-26.92500114,-213.1500092
1.6546946239259553e+18,6.150000095,-27.07500076,-213.3000031
1.6546946239359552e+18,6.300000191,-27.07500076,-213.3750153
1.6546946239459553e+18,6.375000477,-26.85000038,-213.3000031
1.6546946239559552e+18,6.225000381,-26.92500114,-213.3750153
1.6546946239659553e+18,6.375000477,-26.77500153,-213.6000061
1.6546946239759552e+18,6.450000286,-26.70000076,-213.4500122
1.6546946239859553e+18,6.300000191,-26.92500114,-213.3000031
1.6546946239959552e+18,6.300000191,-26.62500191,-213.4500122
1.6546946240059553e+18,6.450000286,-26.55000114,-213.3750153
1.6546946240159552e+18,6.525000095,-26.62500191,-213.3750153
1.654694624025955e+18,6.525000095,-26.70000076,-213.2250061
1.654694624035955e+18,6.900000095,-26.77500153,-213.2250061
1.654694624045955e+18,6.750000477,-26.85000038,-213.0000153
1.6546946240559552e+18,6.600000381,-26.92500114,-213.0000153
1.6546946240659553e+18,6.825000286,-27.00000191,-212.9250031
1.6546946240759552e+18,6.675000191,-27.07500076,-212.7000122
1.6546946240859553e+18,6.675000191,-27.00000191,-212.7750092
1.6546946240959552e+18,6.450000286,-26.77500153,-212.6250153
1.6546946241059553e+18,6.375000477,-26.70000076,-212.7750092
1.6546946241159552e+18,6.150000095,-26.62500191,-212.8500061
1.6546946241259553e+18,6.225000381,-26.55000114,-213.0750122
1.6546946241359552e+18,6.450000286,-26.47500038,-213.3750153
1.6546946241459553e+18,6.450000286,-26.47500038,-213.4500122
1.6546946241559552e+18,6.675000191,-26.47500038,-213.6000061
1.6546946241659553e+18,6.675000191,-26.55000114,-213.6000061
1.6546946241759552e+18,6.900000095,-26.70000076,-213.6000061
1.6546946241859553e+18,6.900000095,-27.00000191,-213.3000031
1.6546946241959552e+18,6.900000095,-27.07500076,-213.0750122
1.6546946242059553e+18,6.750000477,-27.07500076,-212.9250031
1.6546946242159552e+18,6.375000477,-27.00000191,-212.7750092
1.6546946242259553e+18,6.375000477,-26.92500114,-212.8500061
1.6546946242359552e+18,6.300000191,-26.92500114,-212.8500061
1.6546946242459553e+18,6.225000381,-26.92500114,-212.7750092
1.6546946242559552e+18,6.150000095,-26.85000038,-213.0000153
1.6546946242659553e+18,6.300000191,-26.70000076,-213.1500092
1.654694624275955e+18,6.300000191,-26.62500191,-213.4500122
1.654694624285955e+18,6.375000477,-26.47500038,-213.3000031
1.654694624295955e+18,6.450000286,-26.62500191,-213.2250061
1.6546946243059553e+18,6.525000095,-26.70000076,-213.2250061
1.6546946243159552e+18,6.600000381,-26.70000076,-213.3000031
1.6546946243259553e+18,6.600000381,-26.77500153,-213.2250061
1.6546946243359552e+18,6.675000191,-26.70000076,-213.2250061
1.6546946243459553e+18,6.825000286,-26.70000076,-213.2250061
1.6546946243559552e+18,7.125000477,-26.70000076,-213.2250061
1.6546946243659553e+18,7.200000286,-26.92500114,-213.4500122
1.6546946243759552e+18,7.275000095,-26.70000076,-213.4500122
1.6546946243859553e+18,7.275000095,-26.77500153,-213.3750153
1.6546946243959552e+18,7.350000381,-27.07500076,-213.2250061
1.6546946244059553e+18,7.350000381,-26.92500114,-213.4500122
1.6546946244159552e+18,7.275000095,-27.00000191,-213.1500092
1.6546946244259553e+18,7.200000286,-27.22500038,-213.1500092
1.6546946244359552e+18,6.975000381,-27.00000191,-213.0000153
1.6546946244459553e+18,7.200000286,-27.07500076,-213.1500092
1.6546946244559552e+18,7.200000286,-27.30000114,-213.0750122
1.6546946244659553e+18,7.275000095,-27.15000153,-213.0000153
1.6546946244759552e+18,7.350000381,-26.77500153,-213.1500092
1.6546946244859553e+18,7.350000381,-26.92500114,-213.0000153
1.6546946244959552e+18,7.275000095,-26.77500153,-212.9250031
1.6546946245059553e+18,7.200000286,-26.70000076,-213.0000153
1.6546946245159552e+18,7.200000286,-27.07500076,-213.1500092
1.654694624525955e+18,7.050000191,-26.92500114,-213.0750122
1.654694624535955e+18,7.050000191,-26.85000038,-213.0750122
1.654694624545955e+18,6.975000381,-26.85000038,-213.1500092
1.6546946245559552e+18,6.975000381,-26.92500114,-213.1500092
1.6546946245659553e+18,6.975000381,-26.77500153,-213.3000031
1.6546946245759552e+18,7.050000191,-27.00000191,-213.5250092
1.6546946245859553e+18,6.975000381,-26.92500114,-213.5250092
1.6546946245959552e+18,6.825000286,-26.70000076,-213.3750153
1.6546946246059553e+18,6.675000191,-26.77500153,-213.3000031
1.6546946246159552e+18,6.675000191,-26.70000076,-213.2250061
1.6546946246259553e+18,6.525000095,-26.70000076,-213.0750122
1.6546946246359552e+18,6.375000477,-26.70000076,-212.9250031
1.6546946246459553e+18,6.375000477,-26.62500191,-212.9250031
1.6546946246559552e+18,6.375000477,-26.55000114,-212.9250031
1.6546946246659553e+18,6.375000477,-26.47500038,-213.0000153
1.6546946246759552e+18,6.600000381,-26.47500038,-213.3750153
1.6546946246859553e+18,6.525000095,-26.40000153,-213.3000031
1.6546946246959552e+18,6.675000191,-26.55000114,-213.5250092
1.6546946247059553e+18,6.600000381,-26.55000114,-213.6750031
1.6546946247159552e+18,6.600000381,-26.55000114,-213.8250122
1.6546946247259553e+18,6.750000477,-26.62500191,-213.9000092
1.6546946247359552e+18,6.900000095,-26.62500191,-213.9000092
1.6546946247459553e+18,6.975000381,-26.62500191,-213.6750031
1.6546946247559552e+18,6.750000477,-26.62500191,-213.5250092
1.6546946247659553e+18,6.825000286,-26.62500191,-213.3750153
1.654694624775955e+18,6.600000381,-26.47500038,-213.3000031
1.654694624785955e+18,6.750000477,-26.40000153,-213.3000031
1.654694624795955e+18,6.675000191,-26.32500076,-213.0000153
1.6546946248059553e+18,6.525000095,-26.40000153,-212.8500061
1.6546946248159552e+18,6.375000477,-26.47500038,-213.0750122
1.6546946248259553e+18,6.225000381,-26.32500076,-213.0750122
1.6546946248359552e+18,6.300000191,-26.55000114,-213.0000153
1.6546946248459553e+18,6.225000381,-26.47500038,-213.4500122
1.6546946248559552e+18,6.300000191,-26.55000114,-213.5250092
1.6546946248659553e+18,6.450000286,-26.70000076,-213.5250092
1.6546946248759552e+18,6.600000381,-26.70000076,-213.7500153
1.6546946248859553e+18,6.600000381,-26.77500153,-213.7500153
1.6546946248959552e+18,6.825000286,-26.92500114,-213.6000061
1.6546946249059553e+18,6.825000286,-27.00000191,-213.5250092
1.6546946249159552e+18,6.825000286,-26.85000038,-213.5250092
1.6546946249259553e+18,7.125000477,-26.92500114,-213.3000031
1.6546946249359552e+18,7.200000286,-27.00000191,-213.2250061
1.6546946249459553e+18,7.200000286,-26.77500153,-213.4500122
1.6546946249559552e+18,6.975000381,-26.92500114,-213.0750122
1.6546946249659553e+18,7.050000191,-26.92500114,-213.1500092
1.6546946249759552e+18,6.975000381,-26.77500153,-213.0000153
1.6546946249859553e+18,7.050000191,-26.77500153,-213.0000153
1.6546946249959552e+18,6.825000286,-26.77500153,-213.0750122
1.6546946250059553e+18,6.600000381,-26.55000114,-213.0000153
1.6546946250159552e+18,6.525000095,-26.62500191,-213.0000153
1.654694625025955e+18,6.750000477,-26.85000038,-213.0000153
