"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.671729800E-2,2.162694931E-3,8.315406740E-3,6.981277466E-2
6.191000700E-2,-8.634626865E-3,-1.998338848E-2,1.078033447E-2
6.695136100E-2,-2.149242163E-2,-8.192051202E-3,3.939342499E-2
7.199266300E-2,1.519842446E-2,-3.212974593E-2,1.497364044E-2
7.703401700E-2,-2.431695163E-2,4.511669278E-3,1.143360138E-2
8.207537100E-2,1.618470252E-2,-2.193488181E-4,4.341983795E-2
8.711667300E-2,2.849981189E-3,-1.343217492E-2,-1.962184906E-2
9.232323600E-2,-1.183687150E-2,9.809352458E-3,2.960395813E-2
9.736453800E-2,2.318352461E-3,-8.668899536E-3,-3.050136566E-2
1.024058920E-1,-3.148877621E-2,-1.043223962E-2,3.204154968E-2
1.074471940E-1,1.324968040E-2,4.873134196E-3,3.353881836E-2
1.124886000E-1,1.034928858E-2,1.014939323E-2,7.921218872E-3
1.175299020E-1,-2.080683410E-2,-6.840452552E-4,1.431274414E-2
1.227031320E-1,-4.024770856E-2,5.103804171E-3,1.473522186E-2
1.277444860E-1,-2.223740518E-2,-1.786529645E-2,5.966281891E-2
1.327858400E-1,1.873870194E-2,-1.057546586E-3,-1.164722443E-2
1.378271420E-1,-2.748250961E-3,2.465058118E-3,1.521015167E-2
1.428684960E-1,-2.314522862E-2,4.672110081E-3,1.113414764E-2
1.479098500E-1,-7.297143340E-3,1.247386262E-2,2.103614807E-2
1.531344340E-1,2.174963057E-2,3.945995122E-3,2.828884125E-2
1.581757880E-1,-1.478497684E-2,-7.596101612E-3,7.143020630E-4
1.632171420E-1,-1.577511430E-3,-3.921397030E-3,4.153251648E-3
1.682584440E-1,2.976894379E-3,2.750179544E-2,-1.102542877E-2
1.732997980E-1,1.224127412E-2,-4.688240588E-3,1.365852356E-2
1.783411000E-1,7.134079933E-3,4.699990153E-3,5.030727386E-2
1.835315170E-1,3.014357388E-2,-2.550978214E-3,-4.639625549E-3
1.885728710E-1,3.706067801E-4,-1.058951393E-2,1.989459991E-2
1.936142250E-1,6.146669388E-3,3.277477250E-2,2.860927582E-2
1.986555270E-1,9.563043714E-3,-2.016909420E-3,-1.991081238E-2
2.036968820E-1,-4.650741816E-3,-6.630454212E-3,2.766609192E-3
2.087382360E-1,1.865556836E-2,-7.551960647E-3,-5.557727814E-2
2.139286520E-1,-1.679587364E-2,-1.555457711E-2,-3.968238831E-3
2.189700070E-1,1.114755869E-3,1.167451963E-2,1.130580902E-2
2.240113610E-1,8.043035865E-3,-1.784935966E-2,-2.992630005E-3
2.290526630E-1,-1.425372064E-2,-1.054095477E-2,5.261421204E-3
2.340940170E-1,1.399518549E-2,6.167709827E-3,-1.240539551E-2
2.391353190E-1,1.486556232E-2,-2.050507814E-3,5.433082581E-3
2.443251630E-1,-5.837827921E-4,1.416247338E-3,-2.980518341E-2
2.493665170E-1,-1.639962196E-3,-1.621929184E-2,3.761291504E-2
2.544078710E-1,-2.154846489E-2,3.887262195E-3,3.986358643E-3
2.594491730E-1,-1.520296931E-2,3.919873387E-3,3.672599792E-2
2.644905270E-1,-1.613499224E-2,1.428820193E-3,6.639480591E-3
2.695318290E-1,6.563887000E-3,-3.280486912E-3,1.811027527E-3
2.747228190E-1,-5.226567388E-3,-2.105083317E-3,2.877235413E-2
2.797641730E-1,-1.575499773E-3,9.538907558E-3,1.411628723E-2
2.848055270E-1,1.962500811E-2,5.641054362E-3,2.089118958E-2
2.898468290E-1,-4.171177745E-3,7.719412446E-3,-3.825950623E-2
2.948881840E-1,1.014044881E-2,-8.790228516E-3,-1.873970032E-2
2.999294860E-1,1.703768969E-2,-5.140256137E-3,7.472991943E-3
3.051204750E-1,1.330673695E-4,1.726334170E-2,6.161689758E-3
3.101618290E-1,-6.929486990E-3,-1.364623010E-2,1.899623871E-2
3.152031840E-1,1.437757909E-2,-6.359901279E-3,5.045032501E-2
3.202444860E-1,-5.908548832E-3,-1.212448627E-2,2.498626709E-3
3.252858400E-1,-3.059436381E-2,1.272187382E-2,1.423358917E-2
3.303271420E-1,-6.530731916E-3,-2.053633332E-2,-3.194618225E-2
3.355183400E-1,5.412220955E-3,6.858922541E-3,-1.257610321E-2
3.405596940E-1,-5.159676075E-4,-2.717241645E-3,8.841514587E-3
3.456010480E-1,4.259675741E-3,-8.684679866E-3,1.695632935E-2
3.506423500E-1,6.051808596E-4,1.394627616E-2,2.259254456E-2
3.556837040E-1,6.570905447E-3,-8.663121611E-3,-1.313686371E-2
3.607250070E-1,2.419640124E-2,1.505191997E-2,8.296966553E-3
3.659173500E-1,2.648234367E-4,-1.001751423E-2,2.823734283E-2
3.709587040E-1,-6.872713566E-3,2.432152256E-2,-3.591346741E-2
3.760000590E-1,-7.685422897E-4,1.215592772E-2,-5.884170532E-3
3.810413610E-1,-1.374730468E-2,-1.626493782E-2,2.372169495E-2
3.860827150E-1,1.117016375E-2,1.664958894E-3,1.039886475E-2
3.911240170E-1,-1.261027157E-2,-3.170050681E-3,-5.102157593E-3
3.962763090E-1,7.698848844E-3,2.997112274E-2,2.923297882E-2
4.013176630E-1,6.491526961E-3,-2.347789705E-3,3.475379944E-2
4.063589650E-1,-4.386484623E-3,-1.409576088E-2,-9.439468384E-3
4.114003190E-1,2.789273858E-3,-3.130283207E-3,1.905632019E-2
4.164416730E-1,2.056609094E-2,-1.836908981E-2,-4.833221436E-3
4.214829750E-1,4.984334111E-3,-3.133792058E-2,-2.842330933E-2
4.266958920E-1,3.811942041E-2,8.019633591E-3,1.569461823E-2
4.317372460E-1,3.317445517E-3,2.339039743E-2,-1.407337189E-2
4.367785480E-1,1.752626896E-2,1.720298454E-2,-3.046417236E-2
4.418199020E-1,3.161714971E-2,-7.735241205E-3,-1.826286316E-2
4.468612570E-1,-3.145845234E-2,-1.354532689E-2,3.258705139E-3
4.519025590E-1,1.985995471E-2,5.437869579E-3,-9.800910950E-3
4.571050070E-1,7.414966822E-4,-3.152215108E-2,3.056335449E-2
4.621463610E-1,-1.455585659E-2,-1.648996025E-3,3.021335602E-2
4.671877150E-1,-1.323196292E-2,6.724018604E-3,3.934288025E-2
4.722290170E-1,1.186414063E-2,2.208340541E-2,-2.548217773E-3
4.772703710E-1,-6.136804819E-3,-1.837413758E-3,2.827453613E-2
4.823116730E-1,-2.464115620E-3,3.612922132E-2,-1.586437225E-2
4.875032360E-1,3.618285060E-3,-1.519040018E-2,2.340507507E-2
4.925445380E-1,1.413983107E-2,-1.859285310E-2,-6.215858459E-2
4.975858920E-1,2.088010311E-3,-1.482619345E-2,-2.239418030E-2
5.026271940E-1,1.517885923E-2,-4.090774804E-3,1.813697815E-2
5.076685480E-1,5.616128445E-3,1.005994901E-2,1.439189911E-2
5.127098500E-1,1.156218350E-2,-2.672440186E-2,-7.091522217E-3
5.178854230E-1,-4.185160995E-2,-1.566659659E-3,-3.902721405E-2
5.229267770E-1,-9.313642979E-3,-2.618748695E-3,3.487968445E-2
5.279680790E-1,3.874272108E-3,-1.567294449E-2,3.808975220E-2
5.330094340E-1,-1.163198054E-2,-4.161905870E-2,2.822399139E-2
5.380507360E-1,2.171619236E-2,8.536618203E-3,-1.702308655E-3
5.430920900E-1,3.688171506E-3,-2.476961538E-2,2.678108215E-2
5.482624020E-1,-4.650145769E-3,-4.458718002E-3,-3.132820129E-3
5.533037570E-1,1.299962401E-3,3.240008652E-2,1.469230652E-2
5.583450590E-1,-1.059100032E-3,-3.536853939E-3,2.285861969E-2
5.633864130E-1,5.012840033E-3,-2.363570780E-2,-2.956104279E-2
5.684277670E-1,-3.314509988E-3,-1.034913585E-2,-1.267528534E-2
5.734690690E-1,-9.139969945E-3,2.518081665E-2,1.117610931E-2
5.786688090E-1,4.052162170E-3,-2.250851318E-2,1.581192017E-3
5.837101110E-1,1.005339622E-2,-1.282103732E-2,2.293205261E-2
5.887514650E-1,1.352456212E-2,-9.234141558E-3,2.272605896E-2
5.937927670E-1,6.204664707E-3,-4.338309169E-3,2.133655548E-2
5.988341210E-1,-1.878154278E-2,1.230907440E-2,6.032848358E-2
6.038754230E-1,-3.130570054E-3,1.335020363E-2,4.377365112E-4
6.090776110E-1,-2.933338284E-2,-5.722146481E-3,-7.543563843E-4
6.141189130E-1,1.007917523E-2,-2.827354148E-2,2.537631989E-2
6.191602670E-1,2.785877883E-2,-1.392261311E-2,-5.084419250E-2
6.242015690E-1,-1.510533690E-2,5.107022822E-3,1.371669769E-2
6.292429230E-1,2.836897969E-3,-1.748868451E-2,3.617000580E-2
6.342842250E-1,-1.500318944E-2,-7.826626301E-3,4.180812836E-2
6.394652670E-1,1.589663327E-2,-5.369815975E-3,-4.524803162E-2
6.445066210E-1,-1.751862466E-2,1.711677760E-3,2.639389038E-2
6.495479230E-1,1.944781840E-2,1.232395694E-2,-2.490043640E-2
6.545892770E-1,1.547023654E-3,-2.009273320E-2,2.044200897E-2
6.596306320E-1,-6.857782602E-3,-2.107295394E-2,2.383422852E-2
6.646719340E-1,1.217748225E-2,8.630301803E-3,-2.495765686E-3
6.698843820E-1,9.753867984E-3,2.277277410E-2,2.484416962E-2
6.749257360E-1,2.162724733E-2,2.328880131E-3,-3.868103027E-3
6.799670900E-1,1.358136535E-3,1.069041342E-2,9.231567383E-3
6.850083920E-1,1.332803071E-2,1.190356910E-3,2.578544617E-2
6.900497460E-1,3.575895727E-2,-7.172349840E-3,-5.607604980E-4
6.950910480E-1,-1.075838506E-2,1.188030839E-2,3.388977051E-2
7.002826110E-1,-3.914839029E-2,9.393852204E-3,7.280254364E-2
7.053239650E-1,4.014521837E-3,-1.328892261E-2,-4.301643372E-2
7.103653190E-1,2.058316767E-2,1.291644573E-2,1.791667938E-2
7.154066210E-1,-8.093863726E-3,-8.584152907E-3,2.014350891E-2
7.204479750E-1,2.884864807E-4,4.513893276E-3,3.347396851E-3
7.254892770E-1,2.635851502E-3,1.998273283E-2,8.070945740E-3
7.306796940E-1,-9.130671620E-3,-2.063272521E-2,9.191513062E-3
7.357210480E-1,4.477500916E-4,-9.860791266E-3,-1.226520538E-2
7.407624020E-1,1.657292247E-3,1.166766882E-2,-7.411003113E-3
7.458037040E-1,-1.010520756E-2,2.346296981E-2,4.530906677E-3
7.508450590E-1,-4.108741879E-3,1.607900485E-2,5.081367493E-2
7.558863610E-1,6.641462445E-3,1.244699210E-2,-6.125736237E-2
7.610762570E-1,1.133693755E-2,-7.913414389E-3,-9.674072266E-3
7.661176110E-1,3.005385399E-3,-1.612098143E-2,1.297569275E-2
7.711589650E-1,1.132057607E-2,-1.797176898E-3,5.740165710E-3
7.762002670E-1,-7.285922766E-4,-6.467979401E-3,-1.212501526E-2
7.812416210E-1,2.076043189E-2,-1.726336777E-3,-3.221511841E-2
7.862829230E-1,1.557767391E-3,-8.876629174E-3,-3.432273865E-2
7.914752670E-1,-2.701438963E-2,-1.591524109E-2,-3.155708313E-3
7.965166210E-1,1.372402906E-2,2.822968736E-2,-4.315376282E-3
8.015579750E-1,-1.959609985E-2,-6.461791694E-3,3.966712952E-2
8.065992770E-1,1.258541644E-2,7.780823857E-3,1.676845551E-2
8.116406320E-1,-8.796200156E-3,-1.253814623E-2,3.088378906E-2
8.166819340E-1,2.044692636E-3,-8.934367448E-3,-2.555847168E-4
8.218713610E-1,2.348679304E-2,-2.892998606E-2,-2.519321442E-2
8.269127150E-1,3.999674320E-2,2.078879625E-3,2.334594727E-3
8.319540690E-1,9.969592094E-3,-1.487806439E-3,-2.381610870E-2
8.369953710E-1,6.659030914E-3,3.288079426E-2,-6.162261963E-2
8.420367250E-1,1.974581182E-2,-1.269328594E-2,1.847076416E-2
8.470780270E-1,-4.814416170E-4,-5.498398095E-3,2.188205719E-2
8.522681840E-1,4.247263074E-3,4.798388481E-2,-4.837799072E-2
8.573095380E-1,2.318991721E-2,1.785298064E-2,-5.216598511E-3
8.623508920E-1,1.943355799E-2,-6.140425801E-3,2.570724487E-2
8.673921940E-1,-3.311930597E-2,7.068563253E-3,1.836490631E-2
8.724335480E-1,8.703231812E-3,2.296637744E-3,-1.029396057E-2
8.774749020E-1,7.520005107E-3,-2.380702645E-3,-3.158569336E-2
8.826655790E-1,-6.769016385E-3,-2.186879516E-3,-8.754730225E-3
8.877068820E-1,-1.858980954E-2,1.449900866E-2,-3.671646118E-4
8.927482880E-1,1.128515601E-2,7.291030139E-3,1.032638550E-2
8.977895900E-1,-1.615303755E-2,4.894502461E-3,1.974201202E-2
9.028309440E-1,1.145550609E-2,1.199347898E-2,2.908229828E-2
9.078722460E-1,-1.853998005E-2,-2.140287310E-2,4.665374756E-2
9.130625070E-1,2.075739205E-2,-1.400381327E-2,-7.184982300E-3
9.181038610E-1,-1.957461238E-3,6.345562637E-3,1.544284821E-2
9.231452150E-1,2.545556426E-2,-5.624067038E-3,2.838134766E-2
9.281865170E-1,2.049283683E-2,-4.324540496E-3,-2.411651611E-2
9.332278710E-1,-1.642066240E-2,-2.092939615E-2,1.646900177E-2
9.382691730E-1,-3.175041080E-2,-9.096119553E-3,3.414630890E-2
9.434603710E-1,1.852035522E-3,1.113121212E-2,3.980159760E-2
9.485016730E-1,2.920895815E-3,-1.985484362E-2,6.084823608E-2
9.535430790E-1,-5.391627550E-3,-1.911163330E-3,5.083847046E-2
9.585843820E-1,3.372006118E-2,-2.215041220E-2,1.478004456E-2
9.636257360E-1,-1.172181964E-2,-8.885886520E-3,-3.641605377E-2
9.686670380E-1,-8.138731122E-3,8.864372969E-3,5.457878113E-3
9.738567250E-1,2.698704600E-3,-3.163180873E-2,4.341983795E-2
9.788980270E-1,-4.398822784E-3,-6.462391466E-3,-4.450798035E-3
9.839394340E-1,2.298223972E-2,-2.539876103E-2,-6.789207458E-3
9.889807360E-1,1.930463314E-2,1.394630969E-2,2.652549744E-2
9.940220900E-1,1.785269380E-2,5.426287651E-3,3.734588623E-3
9.990634440E-1,1.403675973E-2,7.228888571E-4,6.077766418E-3
1.004254173E0,1.991164684E-2,-3.503392637E-2,3.572082520E-2
1.009295527E0,-2.639575303E-2,1.162034646E-2,1.048278809E-2
1.014336882E0,-3.581970930E-3,1.930896193E-3,-3.711414337E-2
1.019378184E0,3.799384832E-2,1.734337211E-2,-4.155635834E-2
1.024419538E0,2.817496657E-2,-1.010499895E-2,-2.814388275E-2
1.029460840E0,-6.427183747E-3,-2.072254941E-2,1.128673553E-2
1.034615840E0,-5.132675171E-3,-1.583782211E-2,2.069664001E-2
