"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.595526700E-2,5.775000095E0,-2.700000191E1,-2.136750031E2
4.595526700E-2,6.075000286E0,-2.730000114E1,-2.139750061E2
5.595526700E-2,6.225000381E0,-2.715000153E1,-2.136750031E2
6.595526700E-2,6.075000286E0,-2.685000038E1,-2.136750031E2
7.595526700E-2,6.150000095E0,-2.662500191E1,-2.136750031E2
8.595526700E-2,6.600000381E0,-2.662500191E1,-2.136750031E2
9.595526700E-2,6.675000191E0,-2.670000076E1,-2.136000061E2
1.059552670E-1,6.600000381E0,-2.662500191E1,-2.135250092E2
1.159552670E-1,7.050000191E0,-2.662500191E1,-2.135250092E2
1.259552670E-1,7.200000286E0,-2.647500038E1,-2.133000031E2
1.359552670E-1,7.125000477E0,-2.647500038E1,-2.133000031E2
1.459552670E-1,7.200000286E0,-2.662500191E1,-2.133000031E2
1.559552670E-1,7.275000095E0,-2.662500191E1,-2.130750122E2
1.659552670E-1,6.900000095E0,-2.677500153E1,-2.130000153E2
1.759552670E-1,6.750000477E0,-2.685000038E1,-2.131500092E2
1.859552670E-1,6.675000191E0,-2.670000076E1,-2.132250061E2
1.959552670E-1,6.375000477E0,-2.692500114E1,-2.131500092E2
2.059552670E-1,6.150000095E0,-2.707500076E1,-2.133000031E2
2.159552670E-1,6.300000191E0,-2.707500076E1,-2.133750153E2
2.259552670E-1,6.375000477E0,-2.685000038E1,-2.133000031E2
2.359552670E-1,6.225000381E0,-2.692500114E1,-2.133750153E2
2.459552670E-1,6.375000477E0,-2.677500153E1,-2.136000061E2
2.559552670E-1,6.450000286E0,-2.670000076E1,-2.134500122E2
2.659552670E-1,6.300000191E0,-2.692500114E1,-2.133000031E2
2.759552670E-1,6.300000191E0,-2.662500191E1,-2.134500122E2
2.859552670E-1,6.450000286E0,-2.655000114E1,-2.133750153E2
2.959552670E-1,6.525000095E0,-2.662500191E1,-2.133750153E2
3.059552670E-1,6.525000095E0,-2.670000076E1,-2.132250061E2
3.159552670E-1,6.900000095E0,-2.677500153E1,-2.132250061E2
3.259552670E-1,6.750000477E0,-2.685000038E1,-2.130000153E2
3.359552670E-1,6.600000381E0,-2.692500114E1,-2.130000153E2
3.459552670E-1,6.825000286E0,-2.700000191E1,-2.129250031E2
3.559552670E-1,6.675000191E0,-2.707500076E1,-2.127000122E2
3.659552670E-1,6.675000191E0,-2.700000191E1,-2.127750092E2
3.759552670E-1,6.450000286E0,-2.677500153E1,-2.126250153E2
3.859552670E-1,6.375000477E0,-2.670000076E1,-2.127750092E2
3.959552670E-1,6.150000095E0,-2.662500191E1,-2.128500061E2
4.059552670E-1,6.225000381E0,-2.655000114E1,-2.130750122E2
4.159552670E-1,6.450000286E0,-2.647500038E1,-2.133750153E2
4.259552670E-1,6.450000286E0,-2.647500038E1,-2.134500122E2
4.359552670E-1,6.675000191E0,-2.647500038E1,-2.136000061E2
4.459552670E-1,6.675000191E0,-2.655000114E1,-2.136000061E2
4.559552670E-1,6.900000095E0,-2.670000076E1,-2.136000061E2
4.659552670E-1,6.900000095E0,-2.700000191E1,-2.133000031E2
4.759552670E-1,6.900000095E0,-2.707500076E1,-2.130750122E2
4.859552670E-1,6.750000477E0,-2.707500076E1,-2.129250031E2
4.959552670E-1,6.375000477E0,-2.700000191E1,-2.127750092E2
5.059552670E-1,6.375000477E0,-2.692500114E1,-2.128500061E2
5.159552670E-1,6.300000191E0,-2.692500114E1,-2.128500061E2
5.259552670E-1,6.225000381E0,-2.692500114E1,-2.127750092E2
5.359552670E-1,6.150000095E0,-2.685000038E1,-2.130000153E2
5.459552670E-1,6.300000191E0,-2.670000076E1,-2.131500092E2
5.559552670E-1,6.300000191E0,-2.662500191E1,-2.134500122E2
5.659552670E-1,6.375000477E0,-2.647500038E1,-2.133000031E2
5.759552670E-1,6.450000286E0,-2.662500191E1,-2.132250061E2
5.859552670E-1,6.525000095E0,-2.670000076E1,-2.132250061E2
5.959552670E-1,6.600000381E0,-2.670000076E1,-2.133000031E2
6.059552670E-1,6.600000381E0,-2.677500153E1,-2.132250061E2
6.159552670E-1,6.675000191E0,-2.670000076E1,-2.132250061E2
6.259552670E-1,6.825000286E0,-2.670000076E1,-2.132250061E2
6.359552670E-1,7.125000477E0,-2.670000076E1,-2.132250061E2
6.459552670E-1,7.200000286E0,-2.692500114E1,-2.134500122E2
6.559552670E-1,7.275000095E0,-2.670000076E1,-2.134500122E2
6.659552670E-1,7.275000095E0,-2.677500153E1,-2.133750153E2
6.759552670E-1,7.350000381E0,-2.707500076E1,-2.132250061E2
6.859552670E-1,7.350000381E0,-2.692500114E1,-2.134500122E2
6.959552670E-1,7.275000095E0,-2.700000191E1,-2.131500092E2
7.059552670E-1,7.200000286E0,-2.722500038E1,-2.131500092E2
7.159552670E-1,6.975000381E0,-2.700000191E1,-2.130000153E2
7.259552670E-1,7.200000286E0,-2.707500076E1,-2.131500092E2
7.359552670E-1,7.200000286E0,-2.730000114E1,-2.130750122E2
7.459552670E-1,7.275000095E0,-2.715000153E1,-2.130000153E2
7.559552670E-1,7.350000381E0,-2.677500153E1,-2.131500092E2
7.659552670E-1,7.350000381E0,-2.692500114E1,-2.130000153E2
7.759552670E-1,7.275000095E0,-2.677500153E1,-2.129250031E2
7.859552670E-1,7.200000286E0,-2.670000076E1,-2.130000153E2
7.959552670E-1,7.200000286E0,-2.707500076E1,-2.131500092E2
8.059552670E-1,7.050000191E0,-2.692500114E1,-2.130750122E2
8.159552670E-1,7.050000191E0,-2.685000038E1,-2.130750122E2
8.259552670E-1,6.975000381E0,-2.685000038E1,-2.131500092E2
8.359552670E-1,6.975000381E0,-2.692500114E1,-2.131500092E2
8.459552670E-1,6.975000381E0,-2.677500153E1,-2.133000031E2
8.559552670E-1,7.050000191E0,-2.700000191E1,-2.135250092E2
8.659552670E-1,6.975000381E0,-2.692500114E1,-2.135250092E2
8.759552670E-1,6.825000286E0,-2.670000076E1,-2.133750153E2
8.859552670E-1,6.675000191E0,-2.677500153E1,-2.133000031E2
8.959552670E-1,6.675000191E0,-2.670000076E1,-2.132250061E2
9.059552670E-1,6.525000095E0,-2.670000076E1,-2.130750122E2
9.159552670E-1,6.375000477E0,-2.670000076E1,-2.129250031E2
9.259552670E-1,6.375000477E0,-2.662500191E1,-2.129250031E2
9.359552670E-1,6.375000477E0,-2.655000114E1,-2.129250031E2
9.459552670E-1,6.375000477E0,-2.647500038E1,-2.130000153E2
9.559552670E-1,6.600000381E0,-2.647500038E1,-2.133750153E2
9.659552670E-1,6.525000095E0,-2.640000153E1,-2.133000031E2
9.759552670E-1,6.675000191E0,-2.655000114E1,-2.135250092E2
9.859552670E-1,6.600000381E0,-2.655000114E1,-2.136750031E2
9.959552670E-1,6.600000381E0,-2.655000114E1,-2.138250122E2
1.005955267E0,6.750000477E0,-2.662500191E1,-2.139000092E2
1.015955267E0,6.900000095E0,-2.662500191E1,-2.139000092E2
1.025955267E0,6.975000381E0,-2.662500191E1,-2.136750031E2
1.035955267E0,6.750000477E0,-2.662500191E1,-2.135250092E2
1.045955267E0,6.825000286E0,-2.662500191E1,-2.133750153E2
1.055955267E0,6.600000381E0,-2.647500038E1,-2.133000031E2
1.065955267E0,6.750000477E0,-2.640000153E1,-2.133000031E2
1.075955267E0,6.675000191E0,-2.632500076E1,-2.130000153E2
1.085955267E0,6.525000095E0,-2.640000153E1,-2.128500061E2
1.095955267E0,6.375000477E0,-2.647500038E1,-2.130750122E2
1.105955267E0,6.225000381E0,-2.632500076E1,-2.130750122E2
1.115955267E0,6.300000191E0,-2.655000114E1,-2.130000153E2
1.125955267E0,6.225000381E0,-2.647500038E1,-2.134500122E2
1.135955267E0,6.300000191E0,-2.655000114E1,-2.135250092E2
1.145955267E0,6.450000286E0,-2.670000076E1,-2.135250092E2
1.155955267E0,6.600000381E0,-2.670000076E1,-2.137500153E2
1.165955267E0,6.600000381E0,-2.677500153E1,-2.137500153E2
1.175955267E0,6.825000286E0,-2.692500114E1,-2.136000061E2
1.185955267E0,6.825000286E0,-2.700000191E1,-2.135250092E2
1.195955267E0,6.825000286E0,-2.685000038E1,-2.135250092E2
1.205955267E0,7.125000477E0,-2.692500114E1,-2.133000031E2
1.215955267E0,7.200000286E0,-2.700000191E1,-2.132250061E2
1.225955267E0,7.200000286E0,-2.677500153E1,-2.134500122E2
1.235955267E0,6.975000381E0,-2.692500114E1,-2.130750122E2
1.245955267E0,7.050000191E0,-2.692500114E1,-2.131500092E2
1.255955267E0,6.975000381E0,-2.677500153E1,-2.130000153E2
1.265955267E0,7.050000191E0,-2.677500153E1,-2.130000153E2
1.275955267E0,6.825000286E0,-2.677500153E1,-2.130750122E2
1.285955267E0,6.600000381E0,-2.655000114E1,-2.130000153E2
1.295955267E0,6.525000095E0,-2.662500191E1,-2.130000153E2
1.305955267E0,6.750000477E0,-2.685000038E1,-2.130000153E2
1.315955267E0,6.975000381E0,-2.677500153E1,-2.134500122E2
1.325955267E0,6.900000095E0,-2.662500191E1,-2.134500122E2
1.335955267E0,6.975000381E0,-2.640000153E1,-2.136000061E2
1.345955267E0,6.975000381E0,-2.647500038E1,-2.137500153E2
1.355955267E0,7.125000477E0,-2.640000153E1,-2.136750031E2
1.365955267E0,7.200000286E0,-2.662500191E1,-2.137500153E2
1.375955267E0,7.350000381E0,-2.655000114E1,-2.137500153E2
1.385955267E0,7.200000286E0,-2.640000153E1,-2.134500122E2
1.395955267E0,7.200000286E0,-2.640000153E1,-2.133000031E2
1.405955267E0,7.200000286E0,-2.647500038E1,-2.133000031E2
1.415955267E0,7.275000095E0,-2.670000076E1,-2.133000031E2
1.425955267E0,7.350000381E0,-2.670000076E1,-2.133000031E2
1.435955267E0,7.425000191E0,-2.685000038E1,-2.133750153E2
1.445955267E0,7.350000381E0,-2.677500153E1,-2.133750153E2
1.455955267E0,7.200000286E0,-2.662500191E1,-2.134500122E2
1.465955267E0,7.125000477E0,-2.670000076E1,-2.136000061E2
1.475955267E0,6.975000381E0,-2.655000114E1,-2.135250092E2
1.485955267E0,7.050000191E0,-2.670000076E1,-2.133750153E2
1.495955267E0,6.900000095E0,-2.662500191E1,-2.132250061E2
1.505955267E0,7.050000191E0,-2.662500191E1,-2.135250092E2
1.515955267E0,7.125000477E0,-2.662500191E1,-2.133750153E2
1.525955267E0,7.125000477E0,-2.662500191E1,-2.133000031E2
1.535955267E0,7.125000477E0,-2.670000076E1,-2.130000153E2
1.545955267E0,7.350000381E0,-2.670000076E1,-2.131500092E2
1.555955267E0,7.425000191E0,-2.685000038E1,-2.130750122E2
1.565955267E0,7.350000381E0,-2.662500191E1,-2.130750122E2
1.575955267E0,7.350000381E0,-2.677500153E1,-2.131500092E2
1.585955267E0,7.200000286E0,-2.677500153E1,-2.128500061E2
1.595955267E0,6.975000381E0,-2.670000076E1,-2.128500061E2
1.605955267E0,6.900000095E0,-2.662500191E1,-2.129250031E2
1.615955267E0,6.975000381E0,-2.662500191E1,-2.131500092E2
1.625955267E0,6.900000095E0,-2.670000076E1,-2.131500092E2
1.635955267E0,6.900000095E0,-2.662500191E1,-2.131500092E2
1.645955267E0,7.050000191E0,-2.670000076E1,-2.133750153E2
1.655955267E0,7.125000477E0,-2.662500191E1,-2.134500122E2
1.665955267E0,7.200000286E0,-2.662500191E1,-2.136000061E2
1.675955267E0,7.350000381E0,-2.677500153E1,-2.137500153E2
1.685955267E0,7.575000286E0,-2.677500153E1,-2.137500153E2
1.695955267E0,7.500000477E0,-2.685000038E1,-2.136000061E2
1.705955267E0,7.275000095E0,-2.692500114E1,-2.134500122E2
1.715955267E0,7.425000191E0,-2.700000191E1,-2.136000061E2
1.725955267E0,7.275000095E0,-2.700000191E1,-2.135250092E2
1.735955267E0,7.275000095E0,-2.707500076E1,-2.132250061E2
1.745955267E0,7.125000477E0,-2.715000153E1,-2.130000153E2
1.755955267E0,7.050000191E0,-2.685000038E1,-2.129250031E2
1.765955267E0,7.125000477E0,-2.692500114E1,-2.129250031E2
1.775955267E0,7.050000191E0,-2.685000038E1,-2.127750092E2
1.785955267E0,7.050000191E0,-2.670000076E1,-2.127750092E2
1.795955267E0,6.900000095E0,-2.670000076E1,-2.128500061E2
1.805955267E0,7.050000191E0,-2.670000076E1,-2.129250031E2
1.815955267E0,7.125000477E0,-2.677500153E1,-2.130000153E2
1.825955267E0,7.275000095E0,-2.670000076E1,-2.133000031E2
1.835955267E0,7.350000381E0,-2.692500114E1,-2.132250061E2
1.845955267E0,7.275000095E0,-2.677500153E1,-2.130000153E2
1.855955267E0,7.275000095E0,-2.677500153E1,-2.133750153E2
1.865955267E0,7.350000381E0,-2.685000038E1,-2.134500122E2
1.875955267E0,7.200000286E0,-2.685000038E1,-2.133000031E2
1.885955267E0,7.125000477E0,-2.677500153E1,-2.129250031E2
1.895955267E0,6.975000381E0,-2.670000076E1,-2.130000153E2
1.905955267E0,6.975000381E0,-2.662500191E1,-2.129250031E2
1.915955267E0,6.975000381E0,-2.647500038E1,-2.128500061E2
